cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
5211, 0, 0, 0, 0, 0.994913, 11559, 2.21819, 0.590758, 3587253
5212, 73728, 3, 7, 0, 0.994913, 11562, 2.21834, 0.608354, 3587448
5213, 73764, 3, 7, 0, 0.994913, 11565, 2.21849, 0.6015, 3587188
5214, 0, 0, 0, 0, 0.994913, 11565, 2.21807, 0.586352, 3587913
5215, 65538, 3, 8, 0, 0.994913, 11568, 2.21822, 0.604999, 3588150
5216, 0, 0, 0, 0, 0.994913, 11568, 2.21779, 0.634193, 3589533
5217, 65538, 3, 8, 0, 0.994913, 11571, 2.21794, 0.658473, 3590595
5218, 0, 0, 0, 0, 0.994913, 11571, 2.21752, 0.657343, 3589942
5219, 67584, 3, 7, 0, 0.994913, 11574, 2.21767, 0.653348, 3590401
5220, 67590, 3, 2, 0, 0.994913, 11577, 2.21782, 0.688298, 3590844
5221, 104454, 3, 7, 0, 0.994913, 11580, 2.21797, 0.703839, 3592047
5222, 0, 0, 2, 0, 0.994913, 11580, 2.21754, 0.413936, 3591552
5223, 4128, 3, 3, 0, 0.994913, 11583, 2.21769, 0.409571, 3592107
5224, 37920, 3, 6, 0, 0.994913, 11586, 2.21784, 0.428986, 3591312
5225, 0, 0, 3, 0, 0.994913, 11586, 2.21742, 0.42129, 3591747
5226, 33792, 3, 4, 0, 0.994913, 11589, 2.21757, 0.419174, 3590918
5227, 34176, 3, 4, 0, 0.994913, 11592, 2.21772, 0.432311, 3591693
5228, 0, 0, 6, 0, 0.994913, 11592, 2.21729, 0.43122, 3593059
5229, 2064, 3, 8, 0, 0.994913, 11595, 2.21744, 0.430276, 3592985
5230, 2193, 3, 8, 0, 0.994913, 11598, 2.21759, 0.426533, 3593565
5231, 0, 0, 0, 0, 0.994913, 11598, 2.21717, 0.419611, 3592860
5232, 65538, 3, 7, 0, 0.994913, 11601, 2.21732, 0.444385, 3593065
5233, 66054, 3, 4, 0, 0.994913, 11604, 2.21747, 0.497929, 3594653
5234, 0, 0, 2, 0, 0.994913, 11604, 2.21704, 0.501193, 3595298
5235, 4098, 3, 5, 0, 0.994913, 11607, 2.21719, 0.432179, 3596010
5236, 6210, 3, 7, 0, 0.994913, 11610, 2.21734, 0.42678, 3596848
5237, 38982, 3, 5, 0, 0.994913, 11613, 2.21749, 0.450843, 3595939
5238, 0, 0, 8, 0, 0.994913, 11613, 2.21707, 0.453786, 3596307
5239, 32769, 3, 8, 0, 0.994913, 11616, 2.21722, 0.440675, 3597373
5240, 0, 0, 0, 0, 0.994913, 11616, 2.21679, 0.440862, 3596770
5241, 67584, 3, 3, 0, 0.994913, 11619, 2.21694, 0.421648, 3596438
5242, 0, 0, 0, 0, 0.994913, 11619, 2.21652, 0.428317, 3597329
5243, 65544, 3, 8, 0, 0.994913, 11622, 2.21667, 0.427667, 3596856
5244, 65577, 3, 4, 0, 0.994913, 11625, 2.21682, 0.427616, 3597489
